stimulus_id,script_code_iso15924,content_set_id,content,font_id,style_family,render_profile
stim_b00f9a8901e2d27f,Latn,latn_u01,A,font_noto_sans_latn,sans,bbox_height_matched
stim_59827545d81dc7fc,Latn,latn_u01,A,font_noto_sans_latn,sans,ink_area_matched
stim_8e1309a7db1d05d2,Latn,latn_u02,E,font_noto_sans_latn,sans,bbox_height_matched
stim_133906c155e4a0e4,Latn,latn_u02,E,font_noto_sans_latn,sans,ink_area_matched
stim_046feb329e243591,Hani,hani_u01,永,font_noto_sans_sc,sans,bbox_height_matched
stim_efc51b10d2ae586d,Hani,hani_u01,永,font_noto_sans_sc,sans,ink_area_matched
stim_9241515ee6faf823,Hani,hani_u02,山,font_noto_sans_sc,sans,bbox_height_matched
stim_c6922fb2c0493225,Hani,hani_u02,山,font_noto_sans_sc,sans,ink_area_matched
stim_43e4de4c0226c52b,Hani,hani_u01,永,font_noto_serif_sc,serif,bbox_height_matched
stim_d43e821b55f820a0,Hani,hani_u01,永,font_noto_serif_sc,serif,ink_area_matched
stim_94fdb555e2c76d0d,Hani,hani_u02,山,font_noto_serif_sc,serif,bbox_height_matched
stim_a11f47f1741ab628,Hani,hani_u02,山,font_noto_serif_sc,serif,ink_area_matched
stim_7b6b8cc8ec5488f4,Hani,hani_u01,永,font_bpmf_iansui,handwritten,bbox_height_matched
stim_2c15393655973c79,Hani,hani_u01,永,font_bpmf_iansui,handwritten,ink_area_matched
stim_c36628fc59fc54ee,Hani,hani_u02,山,font_bpmf_iansui,handwritten,bbox_height_matched
stim_78903264bdcaf25f,Hani,hani_u02,山,font_bpmf_iansui,handwritten,ink_area_matched
stim_32f7caf9902568e8,Hani,hani_u01,永,font_lxgw_marker_gothic,display,bbox_height_matched
stim_f00a745b15ce8e52,Hani,hani_u01,永,font_lxgw_marker_gothic,display,ink_area_matched
stim_b06dd53d8d6fce5d,Hani,hani_u02,山,font_lxgw_marker_gothic,display,bbox_height_matched
stim_23330edc55d86694,Hani,hani_u02,山,font_lxgw_marker_gothic,display,ink_area_matched
stim_dda7c07fe06f9caf,Kana,kana_u01,あ,font_noto_sans_jp,sans,bbox_height_matched
stim_e4cd77bdeb8a5a87,Kana,kana_u01,あ,font_noto_sans_jp,sans,ink_area_matched
stim_66930457e18714b2,Kana,kana_u02,い,font_noto_sans_jp,sans,bbox_height_matched
stim_6272fac90462d4cc,Kana,kana_u02,い,font_noto_sans_jp,sans,ink_area_matched
stim_6571b49342e42e79,Hang,hang_u01,가,font_noto_sans_kr,sans,bbox_height_matched
stim_f778785d3c49aa17,Hang,hang_u01,가,font_noto_sans_kr,sans,ink_area_matched
stim_53858ab2e7c4a361,Hang,hang_u02,나,font_noto_sans_kr,sans,bbox_height_matched
stim_e9bfcbc5dedd6f36,Hang,hang_u02,나,font_noto_sans_kr,sans,ink_area_matched
